eval/samples_per_second,_runtime,_timestamp,eval/entropy,train/loss,train/mean_token_accuracy,eval/runtime,_step,train/epoch,eval/loss,train/global_step,eval/num_tokens,train/num_tokens,train/learning_rate,train/entropy,train/grad_norm,eval/steps_per_second,eval/mean_token_accuracy
,77.744132831,1774066153.7528596,,4.792159557342529,0.3139912635087967,,0,0.003972194637537239,,1,,31446.0,0.0,1.430586814880371,5.09375,,
,386.178232546,1774066462.1869268,,4.695919036865234,0.3179510813206434,,1,0.019860973187686197,,5,,158215.0,2.105263157894737e-06,1.4484854713082314,4.90625,,
,774.399351985,1774066850.4082122,,4.250265502929688,0.33771234303712844,,2,0.039721946375372394,,10,,317045.0,4.736842105263158e-06,1.5536160230636598,4.5,,
,1161.016543493,1774067237.0254617,,3.1896228790283203,0.4295877322554588,,3,0.05958291956305859,,15,,475810.0,7.368421052631579e-06,1.631841242313385,2.546875,,
,1546.110491674,1774067622.11943,,2.4237171173095704,0.5094403520226478,,4,0.07944389275074479,,20,,633922.0,1e-05,1.663425362110138,1.1875,,
,1921.960576658,1774067997.969481,,1.7852975845336914,0.6205967336893081,,5,0.09930486593843098,,25,,789747.0,1.263157894736842e-05,1.6169242322444917,0.73828125,,
,2300.641545828,1774068376.6504483,,1.2569653511047363,0.7309842109680176,,6,0.11916583912611718,,30,,945921.0,1.5263157894736846e-05,1.2502435863018035,0.75390625,,
,2677.229982201,1774068753.23888,,0.8829351425170898,0.8209432303905487,,7,0.13902681231380337,,35,,1101888.0,1.7894736842105264e-05,0.787426033616066,0.2197265625,,
,3062.723894261,1774069138.7328014,,0.8034293174743652,0.8338898360729218,,8,0.15888778550148958,,40,,1259952.0,1.999990427614762e-05,0.748714479804039,0.1484375,,
,3447.692200557,1774069523.7010982,,0.7763055324554443,0.8409307956695556,,9,0.17874875868917578,,45,,1417720.0,1.9996554133734473e-05,0.7610264271497726,0.1142578125,,
,3828.479817796,1774069904.488631,,0.7563497066497803,0.843366289138794,,10,0.19860973187686196,,50,,1574506.0,1.9988419631155686e-05,0.7559784382581711,0.08935546875,,
,4207.014858174,1774070283.0237393,,0.7102647304534913,0.8530440181493759,,11,0.21847070506454816,,55,,1730683.0,1.99755046615918e-05,0.715244859457016,0.0986328125,,
,4586.481619622,1774070662.49055,,0.766968059539795,0.8391595661640168,,12,0.23833167825223436,,60,,1887369.0,1.9957815406159344e-05,0.7809337556362153,0.08544921875,,
,4970.897851868,1774071046.9067352,,0.7785827159881592,0.8357383489608765,,13,0.25819265143992054,,65,,2045179.0,1.993536033095252e-05,0.788267508149147,0.083984375,,
,5359.023175668,1774071435.032084,,0.741574764251709,0.8427329272031784,,14,0.27805362462760674,,70,,2203849.0,1.9908150182991338e-05,0.748163029551506,0.080078125,,
,5743.125952598,1774071819.1348774,,0.7753995418548584,0.8338169515132904,,15,0.29791459781529295,,75,,2361231.0,1.987619798507809e-05,0.7813745260238647,0.07763671875,,
,6127.977358659,1774072203.9861624,,0.7205254077911377,0.8492078751325607,,16,0.31777557100297915,,80,,2519386.0,1.9839519029564608e-05,0.7236828684806824,0.07568359375,,
,6510.017205063,1774072586.026095,,0.7386065006256104,0.841527795791626,,17,0.33763654419066536,,85,,2676655.0,1.9798130871033322e-05,0.7475345358252525,0.06787109375,,
,6894.728690899,1774072970.7375257,,0.7357946872711182,0.8430934965610504,,18,0.35749751737835156,,90,,2834683.0,1.975205331789566e-05,0.7442873626947403,0.07080078125,,
,7274.003942118,1774073350.0128467,,0.6996148109436036,0.8516909122467041,,19,0.37735849056603776,,95,,2991311.0,1.9701308422911674e-05,0.70627760887146,0.072265625,,
,7661.162535892,1774073737.1713939,,0.7480878829956055,0.8401913166046142,,20,0.3972194637537239,,100,,3149669.0,1.964592047263561e-05,0.751963147521019,0.08154296875,,
,8045.564659893,1774074121.5735621,,0.7503889083862305,0.8420647352933883,,21,0.4170804369414101,,105,,3307712.0,1.958591597579231e-05,0.750776681303978,0.06982421875,,
,8423.888548217,1774074499.897472,,0.6467480659484863,0.8625116974115372,,22,0.4369414101290963,,110,,3463939.0,1.9521323650590135e-05,0.6550520107150077,0.0654296875,,
,8808.820398993,1774074884.8292186,,0.7339670181274414,0.8452870637178421,,23,0.4568023833167825,,115,,3621982.0,1.9452174410976383e-05,0.7343640148639679,0.06884765625,,
,9189.439743356,1774075265.4485343,,0.6956356048583985,0.8518902719020843,,24,0.4766633565044687,,120,,3778985.0,1.9378501351841864e-05,0.703511294722557,0.076171875,,
,9569.369402723,1774075645.3783088,,0.6953991889953614,0.852281242609024,,25,0.49652432969215493,,125,,3935682.0,1.930033973318164e-05,0.6997133672237397,0.06787109375,,
